epoch,categorical_accuracy,loss,lr,val_1-shot_3-way_acc,val_loss
1,0.3388666666666665,2.105456811900277,0.001,0.5366666666666666,1.0286385881186977
2,0.37366666666666665,2.066729461797665,0.001,0.5666666666666667,1.0124337616926062
3,0.39913333333333334,2.0304043165628096,0.001,0.6133333333333333,1.0031459781305014
4,0.4100666666666665,2.0273303954756616,0.001,0.53,1.0301649881249795
5,0.42453333333333343,2.0160341946585167,0.001,0.5433333333333333,1.029612117851075
6,0.42619999999999997,2.0100195881238134,0.001,0.55,1.0200643997045684
7,0.4410000000000002,1.9986425581073213,0.001,0.6633333333333333,0.9717047968431657
8,0.4448666666666666,1.9933287084651041,0.001,0.5933333333333334,0.9972501062043828
9,0.44580000000000003,1.9860951600747794,0.001,0.5766666666666667,1.0120380181245585
10,0.43853333333333344,1.9883301909320006,0.001,0.5633333333333334,1.0089301427140025
11,0.45666666666666667,1.9811984241209555,0.001,0.6033333333333334,0.9943645756500568
12,0.45920000000000016,1.9712693667725216,0.001,0.65,0.9876425138618521
13,0.4647333333333333,1.9677895661271243,0.001,0.5966666666666667,1.0060188902033198
14,0.4734,1.9713170607505963,0.001,0.6566666666666666,1.0033676868820534
15,0.47240000000000004,1.962253256130777,0.001,0.5933333333333334,1.0048764669104744
16,0.4857999999999999,1.951612783436672,0.001,0.58,1.0126443943871424
17,0.48846666666666677,1.9475890086796455,0.001,0.6233333333333333,0.9906901838880031
18,0.4941333333333335,1.9331190415466464,0.001,0.6366666666666667,0.9864237377459638
19,0.4879999999999999,1.9511515742309624,0.001,0.46,1.0641778909675073
20,0.48979999999999996,1.9390627879337616,0.001,0.5366666666666666,1.0302344665345746
21,0.5083999999999997,1.933126055294543,0.001,0.6333333333333333,1.0017722115825693
22,0.49593333333333317,1.9407922188368314,0.001,0.5,1.044032147447641
23,0.48686666666666684,1.940632438550681,0.001,0.6433333333333333,0.9953614101068846
24,0.4974666666666668,1.9232492628111664,0.001,0.6166666666666667,0.9899926575767731
25,0.5099999999999999,1.922863561511642,0.001,0.5466666666666666,1.0075345050120683
26,0.5024,1.9150459447196189,0.001,0.5266666666666666,1.043991596490283
27,0.5193333333333338,1.9165167320300163,0.001,0.5966666666666667,0.9982128222786535
28,0.5262,1.9068754968892996,0.0005,0.6533333333333333,0.9792147184855396
29,0.5244666666666664,1.8992193799041501,0.0005,0.65,0.9798356861910569
30,0.522733333333333,1.9105760997726202,0.0005,0.6033333333333334,0.9868171082350717
31,0.5364666666666665,1.892455069043297,0.0005,0.62,0.9960162891066926
32,0.5250666666666668,1.894091214334659,0.0005,0.53,1.0220899973602495
33,0.5226666666666665,1.9000494455441812,0.0005,0.5833333333333334,0.9926017377899922
34,0.5099333333333331,1.8992300596533807,0.0005,0.6233333333333333,0.9906025757467859
35,0.5339333333333331,1.887678661147269,0.0005,0.59,1.0136787990008553
36,0.5290000000000001,1.8896041164096224,0.0005,0.5266666666666666,1.0116474060751899
37,0.5398666666666666,1.881508838605245,0.0005,0.58,1.0026429457661032
38,0.5204666666666666,1.9046750391735512,0.0005,0.5733333333333334,1.004111291815765
39,0.5496000000000002,1.8705214249601414,0.0005,0.5666666666666667,1.0040399048579347
40,0.5265333333333331,1.887439471959943,0.0005,0.5533333333333333,1.0215678572686349
41,0.5346666666666666,1.8806161117707036,0.0005,0.5533333333333333,1.0115481694931105
42,0.5418000000000002,1.8845093179566788,0.0005,0.5766666666666667,0.9952108493981147
43,0.5489999999999999,1.8684150053364132,0.0005,0.6133333333333333,0.9913605559061586
44,0.5469999999999998,1.876241054318927,0.0005,0.6433333333333333,0.9896716103447434
45,0.5588000000000001,1.867139629082263,0.0005,0.65,0.9934718664379333
46,0.5508666666666666,1.876427635807189,0.0005,0.5966666666666667,1.004023727187511
47,0.5498666666666668,1.8702658128547094,0.0005,0.44666666666666666,1.0442277391424775
48,0.5688000000000001,1.8526223378411626,0.00025,0.5933333333333334,1.0015335125059475
49,0.5656666666666665,1.8645777794926992,0.00025,0.49666666666666665,1.017894740612021
50,0.5700000000000001,1.861050531793006,0.00025,0.5666666666666667,1.0121458592415657
51,0.5708666666666666,1.8618909103071977,0.00025,0.6,1.003772867675944
52,0.5652666666666666,1.8559174970573762,0.00025,0.5633333333333334,1.0033125098497675
53,0.5727333333333333,1.8516645088406423,0.00025,0.6033333333333334,0.9964473597953565
54,0.5622666666666666,1.8562176389901963,0.00025,0.6033333333333334,1.0117692403889733
55,0.5753999999999999,1.8554185999237531,0.00025,0.6233333333333333,0.9838243278424418
56,0.5778666666666665,1.8479775310598137,0.00025,0.6133333333333333,1.0008749868779627
57,0.5684666666666666,1.8568245165857382,0.00025,0.6066666666666667,0.9954962451068614
58,0.5692666666666664,1.853302938327976,0.00025,0.6266666666666667,0.9831587981782763
59,0.5734,1.854013379823474,0.00025,0.61,0.9841058769782395
60,0.5864666666666668,1.8439268184057207,0.00025,0.6066666666666667,0.9920693778754613
61,0.5914666666666666,1.8451983898332762,0.00025,0.59,1.0099339313969742
62,0.6076666666666665,1.8307113430440975,0.00025,0.6433333333333333,0.9952488627556743
63,0.5778666666666666,1.8466447744813135,0.00025,0.56,1.0206444557283378
64,0.5932666666666664,1.8355774120221573,0.00025,0.6,0.9964489940694972
65,0.5644000000000003,1.8535387574874096,0.00025,0.5333333333333333,1.0214902139393178
66,0.5670000000000001,1.8505021867604454,0.00025,0.5333333333333333,1.026741099036479
67,0.5758000000000001,1.8546269371589472,0.00025,0.6433333333333333,0.9904308143144827
68,0.5740666666666668,1.8473751099762927,0.000125,0.6366666666666667,0.9981780140110491
69,0.5802666666666668,1.8417625172001308,0.000125,0.6266666666666667,1.0065845360200998
70,0.5777333333333334,1.840166865004434,0.000125,0.6133333333333333,1.0020683375750634
71,0.6035333333333333,1.8256658770036218,0.000125,0.63,0.9980242200872786
72,0.5871999999999998,1.8365748661375954,0.000125,0.6266666666666667,0.9949084034876383
73,0.5896000000000001,1.832565740591336,0.000125,0.6133333333333333,0.9943494113849269
74,0.5873999999999998,1.8311863704568205,0.000125,0.5966666666666667,1.0019883196024708
75,0.5893333333333335,1.8360360685900619,0.000125,0.6533333333333333,0.9848887354777025
76,0.5881333333333333,1.833593745699808,0.000125,0.5633333333333334,1.0213990664525796
77,0.5881333333333335,1.8411906242418732,0.000125,0.5566666666666666,1.015664024216451
78,0.5791333333333335,1.837342985166177,0.000125,0.6233333333333333,0.9987215460057041
79,0.5897333333333333,1.8340728419742591,0.000125,0.63,0.9946273100952652
80,0.5936666666666668,1.8300036176393115,0.000125,0.63,0.9942685836441704
81,0.602066666666667,1.8220924634265927,0.000125,0.58,1.006363276217697
82,0.5877999999999999,1.8376687826682803,0.000125,0.5733333333333334,1.0116020893940987
83,0.5838,1.837322015430649,0.000125,0.5266666666666666,1.022052022962227
84,0.5874666666666668,1.833076287467024,0.000125,0.56,1.0061529062966392
85,0.5788666666666665,1.8459869523265249,0.000125,0.59,1.0101675986546619
86,0.5952000000000001,1.821336982337922,0.000125,0.5266666666666666,1.0319963399187806
87,0.5878666666666664,1.8313671629386266,0.000125,0.5666666666666667,1.0206637793757827
88,0.5879999999999999,1.8329382459543564,0.000125,0.5766666666666667,1.0110532271817005
89,0.5893333333333335,1.8379821343674656,0.000125,0.5733333333333334,1.0009492804414768
90,0.5903999999999999,1.8230035253592873,0.000125,0.5766666666666667,1.0063295670055505
91,0.5820666666666667,1.8386550809564697,0.000125,0.58,1.0022644352697787
92,0.5899333333333334,1.8354603912885405,0.000125,0.5433333333333333,1.0311348513400638
93,0.6007333333333333,1.8277492130680926,0.000125,0.6266666666666667,0.9876515287694101
94,0.5849333333333336,1.8385383392406858,0.000125,0.6133333333333333,1.0055166097393968
95,0.5973333333333334,1.8258619567413894,0.000125,0.6066666666666667,0.9984759115263747
96,0.5948666666666668,1.8269792892939747,0.000125,0.61,0.9927316556986405
97,0.5937333333333332,1.8336937730928131,0.000125,0.5966666666666667,1.007241914575296
98,0.5973333333333334,1.8285176395630716,0.000125,0.5633333333333334,1.01716490801987
99,0.6018000000000001,1.821869136951996,0.000125,0.61,1.005261379053536
100,0.6134666666666667,1.8215117150013216,0.000125,0.6066666666666667,0.993327284561133
101,0.598466666666667,1.8282452281573902,0.000125,0.5433333333333333,1.027445196233
102,0.5924666666666666,1.8333220052171464,0.000125,0.6433333333333333,1.0003585200001066
103,0.6135333333333333,1.8125872722328455,0.000125,0.61,1.0147833410711333
104,0.5905333333333334,1.8274856829509343,0.000125,0.5933333333333334,0.9909251977993263
105,0.608,1.8207248187106735,0.000125,0.5366666666666666,1.016432256882415
106,0.6109333333333334,1.8185363407430504,0.000125,0.5633333333333334,1.012563039017117
107,0.6014666666666667,1.8270612183771895,0.000125,0.5733333333333334,1.0059973924744632
108,0.6024,1.822067948619686,0.000125,0.57,1.0237715733092938
109,0.6150000000000001,1.8168142763984512,0.000125,0.6166666666666667,1.0124982499910034
110,0.6128666666666668,1.820004263797041,0.000125,0.59,0.9974301639543366
111,0.5955999999999999,1.8312180235292803,0.000125,0.5766666666666667,1.014207019406192
112,0.5985333333333333,1.824292839909857,0.000125,0.62,1.0151579201409617
113,0.5945999999999999,1.8278171656399314,0.000125,0.5966666666666667,1.0140773330788173
114,0.5929333333333333,1.825443429481497,0.000125,0.6066666666666667,1.0036996627946546
115,0.5977999999999999,1.825823492135542,0.000125,0.6166666666666667,1.0040425922034053
116,0.6065333333333333,1.820049029864801,0.000125,0.6166666666666667,0.9959318685417956
117,0.5959999999999999,1.8245126870067276,0.000125,0.6133333333333333,0.9960351124610001
118,0.6142,1.812049732665123,0.000125,0.6133333333333333,1.0020059341585323
119,0.5778000000000001,1.8356502460423854,0.000125,0.5733333333333334,1.0108405217334193
120,0.5951333333333332,1.8294359451207478,0.000125,0.6133333333333333,0.995189899742181
121,0.6065999999999998,1.8216954481594587,0.000125,0.6166666666666667,0.995893875055968
122,0.5937333333333336,1.8179582664961453,0.000125,0.5833333333333334,1.0097099510880212
123,0.6091333333333333,1.825227205911255,0.000125,0.5966666666666667,1.0026719700333264
124,0.6076666666666665,1.8170051203044346,0.000125,0.5733333333333334,1.0159639282897275
